Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,09/04/2023,11.3,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,10/04/2023,6.0,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,10/04/2023,7.1,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,10/04/2023,0.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,10/04/2023,225.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,10/04/2023,1.11,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,10/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,10/04/2023,1.1168,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,10/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,10/04/2023,86.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,10/04/2023,99.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,10/04/2023,8.6,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,10/04/2023,726.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,10/04/2023,948.34,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,10/04/2023,1025.98,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,10/04/2023,29.6,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,10/04/2023,10.61,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,10/04/2023,12.82,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,10/04/2023,11.04,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,10/04/2023,10.74,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,10/04/2023,9.2,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,10/04/2023,13.4,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,11/04/2023,-1.2,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,11/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,11/04/2023,180.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,11/04/2023,180.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,11/04/2023,1.22,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,11/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,11/04/2023,3.0334,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,11/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,11/04/2023,82.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,11/04/2023,99.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,11/04/2023,23.3,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,11/04/2023,1056.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,11/04/2023,945.24,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,11/04/2023,1023.07,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,11/04/2023,56.1,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,11/04/2023,9.2,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,11/04/2023,11.27,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,11/04/2023,9.61,1
