Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,10/04/2024,6.35,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,10/04/2024,19.61,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,10/04/2024,13.28,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,10/04/2024,12.8,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,10/04/2024,7.19,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,10/04/2024,1.7,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,11/04/2024,-4.7,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,11/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,11/04/2024,316.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,11/04/2024,-1.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,11/04/2024,4.71,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,11/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,11/04/2024,10.1351,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,11/04/2024,93.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,11/04/2024,41.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,11/04/2024,72.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,11/04/2024,8.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,11/04/2024,77.8,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,11/04/2024,2317.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,11/04/2024,1026.08,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,11/04/2024,1030.67,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,11/04/2024,16.7,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,11/04/2024,11.01,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,11/04/2024,28.09,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,11/04/2024,17.07,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,11/04/2024,16.74,1
