Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,13/04/2023,0.78,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,13/04/2023,13.0,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,13/04/2023,1.3167,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,13/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,13/04/2023,82.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,13/04/2023,99.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,13/04/2023,10.0,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,13/04/2023,846.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,13/04/2023,943.82,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,13/04/2023,1021.28,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,13/04/2023,56.1,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,13/04/2023,5.84,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,13/04/2023,8.78,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,13/04/2023,9.39,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,13/04/2023,6.9,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,13/04/2023,6.07,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,13/04/2023,3.53,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,13/04/2023,23.4,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,14/04/2023,21.5,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,14/04/2023,22.8,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,14/04/2023,296.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,14/04/2023,315.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,14/04/2023,1.34,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,14/04/2023,1.0,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,14/04/2023,3.9499,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,14/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,14/04/2023,80.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,14/04/2023,95.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,14/04/2023,30.0,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,14/04/2023,1395.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,14/04/2023,943.29,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,14/04/2023,1019.74,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,14/04/2023,64.4,1
