Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Peugeot,208,13047,15977,2023,Gasolina,102.0,ALICANTE,Automático,03016,Comunidad Valenciana
Mercedes-benz,a 45 amg,36990,46000,2018,Gasolina,381.0,LLOBREGAT,Automático,08950,Cataluña
Hyundai,ioniq 6,29900,1600,2023,Eléctrico,228.0,ZARAGOZA,Automático,50011,Aragón
Peugeot,rifter,14990,97904,2019,Diésel,99.0,Venturada,Manual,28729,Madrid
Renault,zoe,6800,36682,2016,Eléctrico,88.0,Rioja,Automático,26006,La Rioja
Bmw,x3,14890,187074,2015,Diésel,190.0,Burlada,Manual,31600,Navarra
Jeep,wrangler,17990,278000,2007,Diésel,177.0,ARONA,Manual,38632,Canarias
Bmw,120,5500,198000,2005,Diésel,163.0,MANRESA,Manual,08242,Cataluña
Volkswagen,tiguan,23790,47638,2021,Diésel,150.0,LAGUNA,Automático,38108,Canarias
Peugeot,408,32990,7250,2024,Electro/Gasolina,224.0,REUS,Automático,43204,Cataluña
Citroen,berlingo,9917,99237,2019,Diésel,103.0,POBLET,Automático,46930,Comunidad Valenciana
Fiat,tipo,7900,98467,2019,Gasolina,95.0,MALAGA,Manual,29004,Andalucía
Audi,a3,9990,190000,2013,Diésel,150.0,Rei,Manual,08750,Cataluña
Ds automobiles,ds 3,13500,59992,2020,Diésel,99.0,MAJADAHONDA,Automático,28221,Madrid
Bmw,320,36900,22300,2024,Gasolina,184.0,ARROYOMOLINOS,Automático,28939,Madrid
Ds automobiles,ds 3,13500,59992,2020,Diésel,99.0,MAJADAHONDA,Automático,28221,Madrid
Nissan,qashqai,15700,77500,2021,Diésel,150.0,ZUBIA,Manual,18140,Andalucía
Mazda,cx-5,16990,138000,2017,Diésel,175.0,utrera,Automático,41710,Andalucía
Citroen,c4,7900,54300,2014,Diésel,114.0,TERRASSA,Manual,08226,Cataluña
Toyota,rav 4,20490,211000,2021,Electro/Gasolina,222.0,Sestao,Automático,48910,País Vasco
Mercedes-benz,a 180,12999,196000,2016,Diésel,109.0,BRACAMONTE,Automático,37300,Castilla y León
Mazda,cx-3,8990,186000,2016,Diésel,105.0,MOSTOLES,Manual,28938,Madrid
Opel,mokka,17590,12229,2024,Gasolina,131.0,Massanassa,Automático,46470,Comunidad Valenciana
Bmw,330,6000,310000,2005,Diésel,231.0,Parla,Automático,28983,Madrid
Mercedes-benz,gla 200,26273,45500,2020,Gasolina,156.0,BARCELONA,Automático,08030,Cataluña
Nissan,qashqai,12499,211000,2018,Diésel,131.0,ARDOZ,Manual,28850,Madrid
Ford,focus,15000,10000,2020,Gasolina,250.0,ZARATAN,Manual,47610,Castilla y León
Skoda,kamiq,15900,44000,2021,Gasolina,110.0,PLANA,Automático,12006,Comunidad Valenciana
Citroen,c4 cactus,7999,140000,2016,Diésel,99.0,ALMERIA,Manual,04008,Andalucía
Renault,clio,7950,129000,2017,Diésel,90.0,MANRESA,Manual,08242,Cataluña
Citroen,c4,13095,34831,2023,Gasolina,131.0,Castelló,Manual,07009,Baleares
Nissan,qashqai,15990,93500,2021,Electro/Gasolina,140.0,MOSTOLES,Manual,28938,Madrid
Mercedes-benz,e 220,12990,201800,2011,Diésel,170.0,MADRID,Automático,28970,Madrid
Volkswagen,touran,15500,130459,2018,Diésel,116.0,PALENCIA,Automático,34004,Castilla y León
Peugeot,2008,15750,46989,2023,Eléctrico,136.0,CAMARGO,Automático,39600,Cantabria
Cupra,formentor,24500,11000,2023,Electro/Gasolina,204.0,CAMPO,Automático,28840,Madrid
Skoda,kamiq,13900,94300,2022,Gas licuado (GLP),90.0,ARROYOMOLINOS,Manual,28939,Madrid
Mercedes-benz,s 500,44000,143221,2016,Gasolina,455.0,MADRID,Automático,28043,Madrid
Citroen,c4 cactus,7990,100000,2018,Gasolina,110.0,HENARES,Manual,28805,Madrid
Toyota,yaris,12475,89760,2021,Gasolina,111.0,PARLA,Automático,28983,Madrid
Kia,rio,11985,28236,2020,Gasolina,101.0,TENERIFE,Manual,38108,Canarias
Volkswagen,golf,9990,161500,2015,Diésel,105.0,VILABLAREIX,Manual,17180,Cataluña
Audi,a4,11999,95000,2008,Diésel,143.0,IGUALADA,Manual,08700,Cataluña
Renault,megane,12475,110890,2021,Diésel,116.0,PARLA,Manual,28983,Madrid
Suzuki,jimny,9800,62553,2004,Gasolina,79.0,MATARÓ,Manual,08303,Cataluña
Bmw,320,18990,159000,2016,Diésel,190.0,CANARIA,Automático,35013,Canarias
Hyundai,i30,22980,79000,2019,Gasolina,275.0,CAMPO,Manual,28840,Madrid
Mercedes-benz,e 320,7500,214000,2006,Diésel,224.0,COLINDRES,Automático,39750,Cantabria
Bmw,318,37500,21100,2024,Diésel,150.0,ELCHE,Automático,03206,Comunidad Valenciana
Jeep,wrangler,24990,185000,2008,Diésel,177.0,SABADELL,Manual,08203,Cataluña
Citroen,c3,14200,10,2025,Gasolina,101.0,Villalba,Manual,28400,Madrid
Ferrari,purosangue,730000,150,2025,Gasolina,725.0,MURCIA,Automático,30009,Región de Murcia
Kia,xceed,13990,94000,2019,Gasolina,140.0,GIJON,Manual,33010,Asturias
Mg,hs,18180,10145,2024,Gasolina,162.0,MADRID,Automático,28914,Madrid
Audi,a5,44490,24000,2024,Electro/Diésel,204.0,DALT,Automático,08339,Cataluña
Toyota,rav 4,8499,137000,2004,Gasolina,125.0,Valle,Manual,08150,Cataluña
Land rover,range rover evoque,14800,173000,2012,Diésel,150.0,VITORIA-GASTEIZ,Automático,01013,País Vasco
Mercedes-benz,c 200,10990,230000,2012,Diésel,136.0,ORDES,Automático,15680,Galicia
Ford,kuga,18090,47913,2019,Diésel,150.0,MAJADAHONDA,Automático,28222,Madrid
Volkswagen,passat,7950,149800,2010,Diésel,110.0,AYAMONTE,Manual,21400,Andalucía
Peugeot,3008,13990,50642,2020,Diésel,131.0,REY,Manual,45280,Castilla-La Mancha
Mazda,3,23400,5259,2024,Gasolina,122.0,BURGOS,Manual,09007,Castilla y León
Lexus,rx 450h,20999,187000,2015,Electro/Gasolina,299.0,MADRID,Automático,28019,Madrid
Audi,q3,24490,115851,2019,Gasolina,190.0,Madrid,Automático,28031,Madrid
Bmw,x4,37990,40000,2021,Diésel,190.0,utrera,Automático,41710,Andalucía
Ford,kuga,14999,149000,2018,Diésel,150.0,BARCELONA,Manual,08019,Cataluña
Audi,rs4,59999,60000,2019,Gasolina,450.0,PLASENCIA,Manual,10600,Extremadura
Citroen,c4 cactus,7999,106000,2016,Gasolina,82.0,Rey,Manual,28500,Madrid
Renault,captur,21990,13476,2024,Gasolina,140.0,SANTANDER,Automático,39011,Cantabria
Seat,leon,11975,209172,2021,Diésel,116.0,PARLA,Automático,28983,Madrid
Porsche,panamera,66990,90000,2017,Diésel,421.0,SEVILLA,Automático,41007,Andalucía
Volkswagen,tiguan,10890,139689,2011,Diésel,140.0,Burlada,Manual,31600,Navarra
Nissan,pixo,3000,60367,2009,Gasolina,68.0,MALAGA,Manual,29004,Andalucía
Jeep,renegade,12990,67900,2019,Gasolina,120.0,GRANADA,Manual,18015,Andalucía
Audi,rs4,59999,60000,2019,Gasolina,450.0,PLASENCIA,Manual,10600,Extremadura
Citroen,c4 cactus,7999,106000,2016,Gasolina,82.0,Rey,Manual,28500,Madrid
Renault,captur,21990,13476,2024,Gasolina,140.0,SANTANDER,Automático,39011,Cantabria
Seat,leon,11975,209172,2021,Diésel,116.0,PARLA,Automático,28983,Madrid
Porsche,panamera,66990,90000,2017,Diésel,421.0,SEVILLA,Automático,41007,Andalucía
Volkswagen,tiguan,10890,139689,2011,Diésel,140.0,Burlada,Manual,31600,Navarra
Nissan,pixo,3000,60367,2009,Gasolina,68.0,MALAGA,Manual,29004,Andalucía
Opel,mokka,17590,12229,2024,Gasolina,131.0,MADRID,Automático,28021,Madrid
Ford,kuga,7995,257484,2011,Diésel,136.0,BARCELONA,Manual,08028,Cataluña
Citroen,c5,7999,182000,2008,Diésel,136.0,LUGO,Manual,27192,Galicia
Peugeot,3008,15500,97000,2022,Gasolina,131.0,PLANA,Automático,12006,Comunidad Valenciana
