Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_Autonoma
Mg,hs,18180,10145,2024,Gasolina,162.0,MADRID,Automático,28914,Comunidad de Madrid
Bmw,218,29490,9850,2024,Gasolina,136.0,DALT,Automático,08339,Cataluña
Audi,a4,11999,95000,2008,Diésel,143.0,IGUALADA,Manual,08700,Cataluña
Fiat,punto,4690,159575,2013,Gas licuado (GLP),77.0,MADRID,Manual,28021,Comunidad de Madrid
Bmw,120,5500,198000,2005,Diésel,163.0,MANRESA,Manual,08242,Cataluña
Seat,leon,11975,209172,2021,Diésel,116.0,PARLA,Automático,28983,Comunidad de Madrid
Land rover,range rover sport,32276,167900,2019,Diésel,252.0,MADRID,Automático,28649,Comunidad de Madrid
Audi,q3,24490,115851,2019,Gasolina,190.0,Madrid,Automático,28031,Comunidad de Madrid
Hyundai,tucson,11999,199000,2017,Diésel,114.0,MALAGA,Manual,29004,Andalucía
Land rover,range rover evoque,21890,92000,2019,Diésel,150.0,PARLA,Automático,28982,Comunidad de Madrid
Mercedes-benz,cla 45 amg,60990,38500,2021,Gasolina,421.0,XERACO,Automático,46770,Comunidad Valenciana
Jeep,renegade,12990,67900,2019,Gasolina,120.0,GRANADA,Manual,18015,Andalucía
Lexus,rx 450h,20999,187000,2015,Electro/Gasolina,299.0,MADRID,Automático,28019,Comunidad de Madrid
Jaecoo,j7,35990,11,2025,Electro/Gasolina,347.0,Humilladero,Automático,29006,Andalucía
Toyota,yaris,3500,250000,2006,Diésel,75.0,ALMENDRALEJO,Manual,06200,Extremadura
Volkswagen,tiguan,10890,139689,2011,Diésel,140.0,Burlada,Manual,31600,Comunidad Foral de Navarra
Bmw,740,26990,249800,2016,Diésel,320.0,COSLADA,Automático,28823,Comunidad de Madrid
Maserati,levante,44800,145158,2019,Gasolina,430.0,MADRID,Automático,28015,Comunidad de Madrid
Peugeot,5008,17350,64291,2021,Gasolina,131.0,ARDOZ,Manual,28850,Comunidad de Madrid
Ford,kuga,7995,257484,2011,Diésel,136.0,BARCELONA,Manual,08028,Cataluña
Cupra,leon,25364,16223,2023,Gasolina,190.0,BARCELONA,Automático,08030,Cataluña
Peugeot,3008,15500,97000,2022,Gasolina,131.0,PLANA,Automático,12006,Comunidad Valenciana
Seat,ateca,16990,39564,2021,Gasolina,116.0,HARO,Manual,26200,La Rioja
Peugeot,2008,11990,139827,2021,Diésel,99.0,MOSTOLES,Manual,28938,Comunidad de Madrid
Suzuki,jimny,8500,291563,2008,Diésel,86.0,UBEDA,Manual,23400,Andalucía
Volvo,c30,5950,195000,2010,Diésel,114.0,BARCELONA,Manual,,Desconocida
Renault,talisman,10490,180000,2017,Diésel,110.0,Calatrava,Manual,13160,Castilla-La Mancha
Mazda,mx-30,17900,49648,2020,Eléctrico,143.0,ZARAGOZA,Automático,50014,Aragón
Peugeot,208,14290,7506,2024,Gasolina,102.0,MADRID,Manual,28021,Comunidad de Madrid
Peugeot,308,14400,7545,2023,Gasolina,131.0,MERIDA,Manual,06800,Extremadura
Ds automobiles,ds 7 crossback,15490,147000,2018,Gasolina,181.0,Campo,Automático,28840,Comunidad de Madrid
Mg,mg3,17094,9728,2024,Electro/Gasolina,194.0,MADRID,Automático,28019,Comunidad de Madrid
Volkswagen,tiguan,23790,47638,2021,Diésel,150.0,LAGUNA,Automático,38108,Canarias
Renault,kadjar,10999,139301,2016,Gasolina,132.0,BESÒS,Automático,08903,Cataluña
Peugeot,2008,11990,139827,2021,Diésel,99.0,MOSTOLES,Manual,28938,Comunidad de Madrid
Suzuki,jimny,8500,291563,2008,Diésel,86.0,UBEDA,Manual,23400,Andalucía
Renault,talisman,10490,180000,2017,Diésel,110.0,Calatrava,Manual,13160,Castilla-La Mancha
