Comunidad Autónoma,Año,CO2,lat,lon
EXTREMADURA,2008,6704,39.1748426,-6.1529891
EXTREMADURA,2009,6397,39.1748426,-6.1529891
EXTREMADURA,2010,6403,39.1748426,-6.1529891
EXTREMADURA,2011,625,39.1748426,-6.1529891
EXTREMADURA,2012,6045,39.1748426,-6.1529891
EXTREMADURA,2013,5733,39.1748426,-6.1529891
EXTREMADURA,2014,5647,39.1748426,-6.1529891
EXTREMADURA,2015,5671,39.1748426,-6.1529891
EXTREMADURA,2016,5459,39.1748426,-6.1529891
EXTREMADURA,2017,5874,39.1748426,-6.1529891
EXTREMADURA,2018,5903,39.1748426,-6.1529891
EXTREMADURA,2019,6089,39.1748426,-6.1529891
EXTREMADURA,2020,5978,39.1748426,-6.1529891
EXTREMADURA,2021,6302,39.1748426,-6.1529891
EXTREMADURA,2022,6396,39.1748426,-6.1529891
GALICIA,1990,23783,42.61946,-7.863112
GALICIA,1991,23214,42.61946,-7.863112
GALICIA,1992,25128,42.61946,-7.863112
GALICIA,1993,24933,42.61946,-7.863112
GALICIA,1994,24286,42.61946,-7.863112
GALICIA,1995,26787,42.61946,-7.863112
GALICIA,1996,25064,42.61946,-7.863112
GALICIA,1997,23839,42.61946,-7.863112
GALICIA,1998,25965,42.61946,-7.863112
GALICIA,1999,24484,42.61946,-7.863112
GALICIA,2000,25654,42.61946,-7.863112
GALICIA,2001,25994,42.61946,-7.863112
GALICIA,2002,28144,42.61946,-7.863112
GALICIA,2003,27023,42.61946,-7.863112
GALICIA,2004,28101,42.61946,-7.863112
GALICIA,2005,2699,42.61946,-7.863112
GALICIA,2006,26353,42.61946,-7.863112
GALICIA,2007,27036,42.61946,-7.863112
GALICIA,2008,21106,42.61946,-7.863112
GALICIA,2009,18844,42.61946,-7.863112
GALICIA,2010,17333,42.61946,-7.863112
GALICIA,2011,1894,42.61946,-7.863112
GALICIA,2012,21759,42.61946,-7.863112
GALICIA,2013,18667,42.61946,-7.863112
GALICIA,2014,18842,42.61946,-7.863112
GALICIA,2015,19837,42.61946,-7.863112
GALICIA,2016,18248,42.61946,-7.863112
GALICIA,2017,20321,42.61946,-7.863112
GALICIA,2018,19279,42.61946,-7.863112
GALICIA,2019,11875,42.61946,-7.863112
GALICIA,2020,8881,42.61946,-7.863112
GALICIA,2021,9089,42.61946,-7.863112
GALICIA,2022,9556,42.61946,-7.863112
LA RIOJA,1990,9550,42.2814642,-2.482805
LA RIOJA,1991,9700,42.2814642,-2.482805
LA RIOJA,1992,9850,42.2814642,-2.482805
LA RIOJA,1993,9780,42.2814642,-2.482805
LA RIOJA,1994,1059,42.2814642,-2.482805
LA RIOJA,1995,116,42.2814642,-2.482805
LA RIOJA,1996,1175,42.2814642,-2.482805
LA RIOJA,1997,1196,42.2814642,-2.482805
LA RIOJA,1998,1365,42.2814642,-2.482805
LA RIOJA,1999,1433,42.2814642,-2.482805
LA RIOJA,2000,149,42.2814642,-2.482805
LA RIOJA,2001,1509,42.2814642,-2.482805
LA RIOJA,2002,1558,42.2814642,-2.482805
LA RIOJA,2003,1737,42.2814642,-2.482805
LA RIOJA,2004,1915,42.2814642,-2.482805
LA RIOJA,2005,3272,42.2814642,-2.482805
LA RIOJA,2006,3316,42.2814642,-2.482805
LA RIOJA,2007,3196,42.2814642,-2.482805
LA RIOJA,2008,2978,42.2814642,-2.482805
LA RIOJA,2009,2074,42.2814642,-2.482805
LA RIOJA,2010,1988,42.2814642,-2.482805
LA RIOJA,2011,1673,42.2814642,-2.482805
LA RIOJA,2012,1805,42.2814642,-2.482805
LA RIOJA,2013,1406,42.2814642,-2.482805
LA RIOJA,2014,1238,42.2814642,-2.482805
LA RIOJA,2015,1402,42.2814642,-2.482805
LA RIOJA,2016,1575,42.2814642,-2.482805
LA RIOJA,2017,1798,42.2814642,-2.482805
LA RIOJA,2018,1569,42.2814642,-2.482805
LA RIOJA,2019,1656,42.2814642,-2.482805
LA RIOJA,2020,1334,42.2814642,-2.482805
LA RIOJA,2021,1587,42.2814642,-2.482805
LA RIOJA,2022,1608,42.2814642,-2.482805
MADRID,1990,15758,40.4167047,-3.7035825
MADRID,1991,16945,40.4167047,-3.7035825
MADRID,1992,18353,40.4167047,-3.7035825
MADRID,1993,17713,40.4167047,-3.7035825
MADRID,1994,18929,40.4167047,-3.7035825
MADRID,1995,19039,40.4167047,-3.7035825
MADRID,1996,20169,40.4167047,-3.7035825
MADRID,1997,20158,40.4167047,-3.7035825
MADRID,1998,21665,40.4167047,-3.7035825
MADRID,1999,22478,40.4167047,-3.7035825
MADRID,2000,24064,40.4167047,-3.7035825
MADRID,2001,25424,40.4167047,-3.7035825
MADRID,2002,25886,40.4167047,-3.7035825
MADRID,2003,27082,40.4167047,-3.7035825
MADRID,2004,27269,40.4167047,-3.7035825
MADRID,2005,2883,40.4167047,-3.7035825
MADRID,2006,29189,40.4167047,-3.7035825
MADRID,2007,29514,40.4167047,-3.7035825
MADRID,2008,27083,40.4167047,-3.7035825
MADRID,2009,26396,40.4167047,-3.7035825
MADRID,2010,26116,40.4167047,-3.7035825
MADRID,2011,25738,40.4167047,-3.7035825
MADRID,2012,24001,40.4167047,-3.7035825
MADRID,2013,24322,40.4167047,-3.7035825
MADRID,2014,22701,40.4167047,-3.7035825
MADRID,2015,22054,40.4167047,-3.7035825
MADRID,2016,22565,40.4167047,-3.7035825
MADRID,2017,22465,40.4167047,-3.7035825
MADRID,2018,23573,40.4167047,-3.7035825
MADRID,2019,23232,40.4167047,-3.7035825
MADRID,2020,19622,40.4167047,-3.7035825
MADRID,2021,22164,40.4167047,-3.7035825
MADRID,2022,21596,40.4167047,-3.7035825
MELILLA,1990,3160,35.2918698,-2.9409026
MELILLA,1991,3450,35.2918698,-2.9409026
MELILLA,1992,3050,35.2918698,-2.9409026
MELILLA,1993,4440,35.2918698,-2.9409026
MELILLA,1994,4480,35.2918698,-2.9409026
MELILLA,1995,3930,35.2918698,-2.9409026
MELILLA,1996,3750,35.2918698,-2.9409026
MELILLA,1997,2900,35.2918698,-2.9409026
MELILLA,1998,3010,35.2918698,-2.9409026
MELILLA,1999,3200,35.2918698,-2.9409026
MELILLA,2000,3290,35.2918698,-2.9409026
MELILLA,2001,3330,35.2918698,-2.9409026
MELILLA,2002,3190,35.2918698,-2.9409026
MELILLA,2003,3420,35.2918698,-2.9409026
MELILLA,2004,3500,35.2918698,-2.9409026
